Date,Open,High,Low,Close ,Adj Close ,Volume
12-Dec-23,71.4,71.4,67.788,67.788,60.8938,"3,367"
11-Dec-23,67.98,72.78,67.98,70.869,63.6614,"4,767"
8-Dec-23,68.85,68.91,67.65,68.193,61.2576,"4,800"
7-Dec-23,74.61,74.61,70.95,70.95,63.7342,"8,233"
6-Dec-23,69.264,74.79,68.76,74.79,67.1836,"7,467"
5-Dec-23,74.4,74.43,71.28,71.394,64.133,"9,367"
4-Dec-23,73.23,76.11,73.23,74.73,67.1297,"10,933"
1-Dec-23,72.57,72.57,69.57,70.884,63.6749,"3,133"
30-Nov-23,67.737,71.58,67.737,70.821,63.6183,"4,567"
29-Nov-23,66.63,67.44,65.25,67.005,60.1904,"1,367"
28-Nov-23,67.383,68.76,67.11,68.094,61.1686,"9,000"
27-Nov-23,68.13,68.31,66.243,66.747,59.9586,"2,900"
24-Nov-23,65.1,67.59,65.1,67.533,60.6647,"4,900"
22-Nov-23,62.82,67.752,61.563,65.283,58.6435,"20,933"
21-Nov-23,61.5,63.6,61.5,62.37,56.0268,"9,733"
20-Nov-23,63.21,64.62,60.93,61.311,55.0755,"8,133"
17-Nov-23,63.93,64.47,63.21,64.146,57.6222,"2,633"
16-Nov-23,65.592,66.015,63.63,63.75,57.2664,"4,733"
15-Nov-23,63.411,66.6,62.925,65.421,58.7675,"12,800"
14-Nov-23,63.93,64.74,63.18,63.222,56.7921,"7,867"
13-Nov-23,67.02,67.23,64.77,66.09,59.3685,"6,267"
10-Nov-23,69.57,69.75,66.624,66.78,59.9883,"5,900"
9-Nov-23,68.556,71.49,67.677,71.004,63.7827,"8,300"
8-Nov-23,73.152,73.17,71.361,72.213,64.8687,"2,000"
7-Nov-23,75.21,75.33,73.47,74.157,66.615,"3,800"
6-Nov-23,74.52,76.5,74.52,74.868,67.2537,"3,667"
3-Nov-23,81.48,81.48,76.47,77.4,69.5282,"5,433"
2-Nov-23,83.94,85.65,82.17,82.887,74.4572,"6,433"
